Groups,Groups_new,model,RMSD,RMSD_rank,PZ
Lee,Lee,6,3.803,14,PZ16b
Lee,Lee,3,3.591,12,PZ16b
Szachniuk,Szachniuk,9,2.759,11,PZ16b
Szachniuk,Szachniuk,10,2.668,10,PZ16b
Lee,Lee,8,3.782,13,PZ16b
Chen,Chen,4,15.794,27,PZ16b
Chen,Chen,5,16.39,30,PZ16b
Chen,Chen,7,16.367,29,PZ16b
Chen,Chen,9,16.285,28,PZ16b
Chen,Chen,8,15.745,26,PZ16b
Chen,Chen,10,15.708,25,PZ16b
Chen,Chen,6,15.547,24,PZ16b
Chen,Chen,3,7.276,23,PZ16b
Chen,Chen,2,7.2,22,PZ16b
Lee,Lee,10,4.876,21,PZ16b
Lee,Lee,5,4.708,20,PZ16b
Szachniuk,Szachniuk,5,1.682,6,PZ16b
Szachniuk,Szachniuk,7,1.614,5,PZ16b
Szachniuk,Szachniuk,3,1.607,4,PZ16b
Szachniuk,Szachniuk,4,1.543,3,PZ16b
Chen,Chen,1,1.324,2,PZ16b
Szachniuk,Szachniuk,1,1.25,1,PZ16b
Szachniuk,Szachniuk,2,1.698,7,PZ16b
Szachniuk,Szachniuk,8,1.712,8,PZ16b
Szachniuk,Szachniuk,6,1.812,9,PZ16b
Xiao,Xiao,4,14.791,16,PZ30
Ding,Ding,5,14.635,15,PZ30
Bujnicki,Bujnicki,4,14.59,14,PZ30
Ding,Ding,1,14.444,13,PZ30
Ding,Ding,2,14.212,12,PZ30
Chen,Chen,10,14.079,11,PZ30
Ding,Ding,3,12.813,7,PZ30
Ding,Ding,6,13.307,9,PZ30
Ding,Ding,7,13.082,8,PZ30
Ding,Ding,8,12.566,6,PZ30
Szachniuk,Szachniuk,3,12.318,5,PZ30
Ding,Ding,4,12.286,4,PZ30
Szachniuk,Szachniuk,1,14.874,17,PZ30
Chen,Chen,2,13.828,10,PZ30
Bujnicki,Bujnicki,2,15.096,18,PZ30
Szachniuk,Szachniuk,5,18.423,30,PZ30
Chen,Chen,5,16.059,20,PZ30
Chen,Chen,4,9.606,3,PZ30
Chen,Chen,1,5.021,1,PZ30
Nithin,Nithin,1,27.266,34,PZ30
Xiao,Xiao,3,20.212,33,PZ30
Chen,Chen,8,19.53,32,PZ30
Xiao,Xiao,2,19.083,31,PZ30
Xiao,Xiao,1,15.595,19,PZ30
Bujnicki,Bujnicki,5,18.261,29,PZ30
Bujnicki,Bujnicki,1,17.994,27,PZ30
Bujnicki,Bujnicki,3,17.536,26,PZ30
Szachniuk,Szachniuk,2,17.004,24,PZ30
Chen,Chen,7,16.624,23,PZ30
Chen,Chen,3,16.613,22,PZ30
Chen,Chen,6,16.313,21,PZ30
Xiao,Xiao,5,18.091,28,PZ30
Chen,Chen,9,7.381,2,PZ30
Szachniuk,Szachniuk,4,17.143,25,PZ30
Chen,Chen,2,13.021,24,PZ23
Xiao,Xiao,2,10.901,7,PZ23
Xiao,Xiao,3,10.894,6,PZ23
Xiao,Xiao,1,10.762,5,PZ23
Chen,Chen,3,10.587,3,PZ23
Das,Das,6,9.686,2,PZ23
Das,Das,7,8.129,1,PZ23
Szachniuk,Szachniuk,1,13.098,25,PZ23
Szachniuk,Szachniuk,2,13.232,26,PZ23
Ding,Ding,5,13.259,27,PZ23
Szachniuk,Szachniuk,3,14.207,28,PZ23
Xiao,Xiao,5,17.196,29,PZ23
Xiao,Xiao,4,18.218,30,PZ23
Das,Das,2,12.834,23,PZ23
Das,Das,1,11.162,8,PZ23
Das,Das,8,10.681,4,PZ23
Chen,Chen,1,11.422,10,PZ23
Dokholyan,Dokholyan,1,12.431,20,PZ23
Das,Das,3,12.554,21,PZ23
Ding,Ding,4,12.75,22,PZ23
Ding,Ding,1,11.272,9,PZ23
Bujnicki,Bujnicki,1,12.157,17,PZ23
Bujnicki,Bujnicki,2,12.165,18,PZ23
Das,Das,4,12.045,15,PZ23
Das,Das,5,12.049,16,PZ23
Das,Das,9,11.781,13,PZ23
Ding,Ding,2,11.677,12,PZ23
Ding,Ding,3,11.457,11,PZ23
Bujnicki,Bujnicki,3,11.952,14,PZ23
Das,Das,10,12.322,19,PZ23
Perez,Perez,8,9.099,27,PZ32
Ding,Ding,4,8.967,26,PZ32
Ding,Ding,8,8.809,25,PZ32
ARES,Das,5,8.763,24,PZ32
Ding,Ding,1,8.262,18,PZ32
FARFAR2,Das,9,8.557,22,PZ32
Dfold,Kollmann,2,8.468,21,PZ32
Das,Das,10,8.367,19,PZ32
ARES,Das,10,8.367,19,PZ32
ARES,Das,8,8.131,17,PZ32
Ding,Ding,6,8.051,16,PZ32
Ding,Ding,3,8.039,15,PZ32
Perez,Perez,6,9.234,28,PZ32
Ding,Ding,7,8.572,23,PZ32
Xiao,Xiao,5,9.427,29,PZ32
Xiao,Xiao,4,12.669,39,PZ32
Perez,Perez,7,9.899,31,PZ32
Szachniuk,Szachniuk,4,13.881,46,PZ32
FARFAR2,Das,4,13.874,45,PZ32
Chen,Chen,3,13.726,44,PZ32
Perez,Perez,9,13.098,43,PZ32
Dfold,Kollmann,5,13.041,42,PZ32
Bujnicki,Bujnicki,2,12.924,41,PZ32
Chen,Chen,1,12.793,40,PZ32
Xiao,Xiao,2,7.955,14,PZ32
Chen,Chen,2,12.62,38,PZ32
Bujnicki,Bujnicki,4,11.931,37,PZ32
Perez,Perez,3,10.758,36,PZ32
Dfold,Kollmann,1,10.73,35,PZ32
Ding,Ding,2,10.229,34,PZ32
Das,Das,4,10.175,33,PZ32
Szachniuk,Szachniuk,2,10.011,32,PZ32
Perez,Perez,1,9.597,30,PZ32
Perez,Perez,5,7.786,13,PZ32
ARES,Das,9,7.581,11,PZ32
Dokholyan,Dokholyan,3,20.157,70,PZ32
Nithin,Nithin,2,20.203,71,PZ32
Das,Das,2,20.597,72,PZ32
FARFAR2,Das,5,20.597,72,PZ32
Das,Das,3,20.612,74,PZ32
FARFAR2,Das,6,20.612,74,PZ32
ARES,Das,2,21.716,76,PZ32
Chen,Chen,10,21.887,77,PZ32
Nithin,Nithin,1,22.688,78,PZ32
FARFAR2,Das,10,22.839,79,PZ32
Chen,Chen,9,23.125,80,PZ32
Bujnicki,Bujnicki,3,23.307,81,PZ32
ARES,Das,4,23.464,82,PZ32
Dfold,Kollmann,9,19.634,69,PZ32
Das,Das,7,23.464,82,PZ32
FARFAR2,Das,1,24.222,84,PZ32
ARES,Das,3,24.561,85,PZ32
Chen,Chen,8,24.768,86,PZ32
Chen,Chen,6,25.578,87,PZ32
FARFAR2,Das,8,26.115,88,PZ32
Nithin,Nithin,3,26.738,89,PZ32
FARFAR2,Das,7,26.747,90,PZ32
ARES,Das,1,26.757,91,PZ32
Das,Das,6,26.757,91,PZ32
Bujnicki,Bujnicki,5,27.432,93,PZ32
Nithin,Nithin,4,27.635,94,PZ32
Dokholyan,Dokholyan,2,28.185,95,PZ32
Chen,Chen,7,28.711,96,PZ32
Perez,Perez,2,7.63,12,PZ32
Boniecki,Boniecki,1,19.327,67,PZ32
Szachniuk,Szachniuk,1,6.976,9,PZ32
Das,Das,5,6.972,8,PZ32
Xiao,Xiao,1,6.964,7,PZ32
Ding,Ding,5,6.952,6,PZ32
Xiao,Xiao,3,6.934,5,PZ32
Perez,Perez,10,6.825,4,PZ32
Szachniuk,Szachniuk,3,6.476,3,PZ32
Szachniuk,Szachniuk,5,5.159,2,PZ32
Nithin,Nithin,5,13.916,47,PZ32
Dokholyan,Dokholyan,1,14.036,48,PZ32
Dfold,Kollmann,3,14.132,49,PZ32
ARES,Das,6,14.164,50,PZ32
Das,Das,8,14.164,50,PZ32
Chen,Chen,4,4.989,1,PZ32
Dfold,Kollmann,8,14.331,52,PZ32
ARES,Das,7,14.622,53,PZ32
Bujnicki,Bujnicki,1,19.296,66,PZ32
Boniecki,Boniecki,2,19.274,65,PZ32
FARFAR2,Das,3,18.706,63,PZ32
Das,Das,1,18.706,63,PZ32
Boniecki,Boniecki,5,17.953,62,PZ32
Boniecki,Boniecki,3,17.644,61,PZ32
Chen,Chen,5,19.427,68,PZ32
Dfold,Kollmann,6,17.492,60,PZ32
Boniecki,Boniecki,4,16.878,58,PZ32
Dfold,Kollmann,4,15.583,57,PZ32
FARFAR2,Das,2,14.656,56,PZ32
Dfold,Kollmann,10,14.629,55,PZ32
Das,Das,9,14.622,53,PZ32
Dfold,Kollmann,7,17.066,59,PZ32
Perez,Perez,4,7.306,10,PZ32
Chen,Chen,5,15.848,23,PZ18
Ding,Ding,5,16.148,24,PZ18
DasORIGINAL,Das,3,3.208,1,PZ18
Ding,Ding,4,24.924,34,PZ18
Lee,Lee,5,24.549,33,PZ18
Lee,Lee,1,22.793,32,PZ18
Lee,Lee,4,22.158,31,PZ18
Lee,Lee,3,21.421,30,PZ18
Lee,Lee,2,21.159,29,PZ18
Ding,Ding,2,21.13,28,PZ18
Ding,Ding,1,20.28,27,PZ18
YagoubAli,YagoubAli,1,18.636,26,PZ18
Ding,Ding,3,16.45,25,PZ18
Chen,Chen,1,3.74,2,PZ18
Das,Das,2,3.877,3,PZ18
DasORIGINAL,Das,2,4.034,4,PZ18
Das,Das,1,5.496,5,PZ18
DasORIGINAL,Das,1,5.633,6,PZ18
Das,Das,3,5.633,6,PZ18
Das,Das,4,5.698,8,PZ18
Chen,Chen,2,6.636,10,PZ18
Dokholyan,Dokholyan,3,7.903,11,PZ18
Dokholyan,Dokholyan,1,8.44,12,PZ18
Szachniuk,Szachniuk,5,9.082,13,PZ18
Chen,Chen,3,9.165,14,PZ18
Szachniuk,Szachniuk,2,9.222,15,PZ18
DasORIGINAL,Das,4,5.698,8,PZ18
Chen,Chen,4,9.273,17,PZ18
Szachniuk,Szachniuk,3,9.262,16,PZ18
Dokholyan,Dokholyan,2,11.954,22,PZ18
Das,Das,5,10.904,20,PZ18
DasORIGINAL,Das,5,10.904,20,PZ18
Szachniuk,Szachniuk,4,10.833,19,PZ18
Szachniuk,Szachniuk,1,9.433,18,PZ18
Ding,Ding,4,27.557,61,PZ24
Kollmann,Kollmann,2,25.155,59,PZ24
Ding,Ding,7,26.072,60,PZ24
Kollmann,Kollmann,7,29.0,62,PZ24
Kollmann,Kollmann,5,32.523,69,PZ24
Kollmann,Kollmann,10,29.586,64,PZ24
Kollmann,Kollmann,1,30.154,65,PZ24
Kollmann,Kollmann,6,30.524,66,PZ24
Kollmann,Kollmann,4,32.088,67,PZ24
Kollmann,Kollmann,8,32.427,68,PZ24
Kollmann,Kollmann,3,32.864,70,PZ24
Ding,Ding,8,23.969,58,PZ24
Kollmann,Kollmann,9,29.579,63,PZ24
Das,Das,6,14.595,29,PZ24
FARFAR2,Das,4,13.552,19,PZ24
Das,Das,7,13.633,20,PZ24
VfoldLA,Chen,5,13.651,21,PZ24
Das,Das,9,14.141,22,PZ24
Vfold3D,Chen,4,14.196,23,PZ24
VfoldLA,Chen,4,14.248,24,PZ24
VfoldLA,Chen,3,14.323,25,PZ24
Adamiak,Szachniuk,3,14.372,26,PZ24
Das,Das,5,14.377,27,PZ24
Bujnicki,Bujnicki,5,14.583,28,PZ24
Vfold3D,Chen,1,14.738,30,PZ24
Das,Das,8,14.931,31,PZ24
VfoldLA,Chen,1,14.997,32,PZ24
Das,Das,4,15.015,33,PZ24
Bujnicki,Bujnicki,1,15.072,34,PZ24
Adamiak,Szachniuk,4,15.075,35,PZ24
VfoldLA,Chen,2,15.353,36,PZ24
DasTFN,Das,2,13.302,18,PZ24
FARFAR2,Das,8,12.922,17,PZ24
DasTFN,Das,10,4.829,1,PZ24
DasTFN,Das,6,6.57,2,PZ24
FARFAR2,Das,9,7.68,3,PZ24
DasTFN,Das,9,8.915,4,PZ24
FARFAR2,Das,6,8.915,4,PZ24
Bujnicki,Bujnicki,2,9.752,6,PZ24
Adamiak,Szachniuk,5,9.85,7,PZ24
FARFAR2,Das,10,10.134,8,PZ24
Adamiak,Szachniuk,1,10.272,9,PZ24
DasTFN,Das,8,10.62,10,PZ24
Bujnicki,Bujnicki,3,10.777,11,PZ24
DasTFN,Das,1,10.901,12,PZ24
Adamiak,Szachniuk,2,10.936,13,PZ24
Vfold3D,Chen,5,11.033,14,PZ24
FARFAR2,Das,7,12.198,15,PZ24
DasTFN,Das,4,21.887,57,PZ24
Vfold3D,Chen,3,15.497,37,PZ24
Vfold3D,Chen,2,12.787,16,PZ24
Das,Das,1,15.942,38,PZ24
FARFAR2,Das,5,18.405,47,PZ24
FARFAR2,Das,3,19.079,48,PZ24
Ding,Ding,6,19.105,49,PZ24
Ding,Ding,5,19.178,50,PZ24
DasTFN,Das,5,19.588,51,PZ24
Bujnicki,Bujnicki,4,18.301,46,PZ24
Ding,Ding,10,19.616,52,PZ24
Ding,Ding,1,19.91,53,PZ24
Ding,Ding,3,20.59,54,PZ24
Ding,Ding,2,20.821,55,PZ24
Ding,Ding,9,21.018,56,PZ24
DasTFN,Das,7,16.785,43,PZ24
FARFAR2,Das,2,16.866,44,PZ24
Das,Das,2,17.264,45,PZ24
Das,Das,3,16.765,40,PZ24
DasTFN,Das,3,16.774,41,PZ24
Das,Das,10,16.477,39,PZ24
FARFAR2,Das,1,16.774,41,PZ24
Ding,Ding,2,7.474,20,PZ31
Szachniuk,Szachniuk,2,7.465,19,PZ31
Ding,Ding,4,9.095,22,PZ31
Chen,Chen,8,7.215,18,PZ31
Ding,Ding,3,6.751,17,PZ31
Chen,Chen,9,6.646,16,PZ31
Bujnicki,Bujnicki,5,6.414,15,PZ31
Szachniuk,Szachniuk,1,9.145,23,PZ31
Ding,Ding,6,9.198,24,PZ31
Ding,Ding,5,9.635,25,PZ31
Perez,Perez,1,9.001,21,PZ31
Chen,Chen,6,5.584,8,PZ31
Dfold,Kollmann,1,25.574,62,PZ31
Chen,Chen,1,5.645,9,PZ31
Chen,Chen,2,5.688,10,PZ31
Szachniuk,Szachniuk,5,5.737,11,PZ31
Szachniuk,Szachniuk,3,5.781,12,PZ31
Ding,Ding,1,5.861,13,PZ31
Chen,Chen,3,5.513,6,PZ31
Chen,Chen,10,6.01,14,PZ31
Bujnicki,Bujnicki,2,5.449,5,PZ31
Chen,Chen,5,5.415,4,PZ31
Chen,Chen,7,5.166,3,PZ31
Dokholyan,Dokholyan,1,4.956,2,PZ31
Dokholyan,Dokholyan,2,4.798,1,PZ31
Dfold,Kollmann,8,24.803,61,PZ31
Bujnicki,Bujnicki,4,5.513,6,PZ31
Nithin,Nithin,2,10.253,26,PZ31
Szachniuk,Szachniuk,4,12.738,36,PZ31
Perez,Perez,4,16.409,46,PZ31
Perez,Perez,8,17.158,47,PZ31
Perez,Perez,3,17.708,48,PZ31
Xiao,Xiao,3,17.749,49,PZ31
Perez,Perez,7,18.153,50,PZ31
Xiao,Xiao,2,18.376,51,PZ31
Perez,Perez,5,16.075,45,PZ31
Perez,Perez,9,18.727,52,PZ31
Dfold,Kollmann,10,20.565,54,PZ31
Dfold,Kollmann,6,21.345,55,PZ31
Dfold,Kollmann,9,21.547,56,PZ31
Dfold,Kollmann,5,22.043,57,PZ31
Dfold,Kollmann,4,22.592,58,PZ31
Dfold,Kollmann,3,22.795,59,PZ31
Perez,Perez,2,19.562,53,PZ31
Xiao,Xiao,4,14.465,44,PZ31
Perez,Perez,6,14.372,43,PZ31
Ding,Ding,7,14.082,42,PZ31
Xiao,Xiao,5,11.267,28,PZ31
Nithin,Nithin,5,11.372,29,PZ31
Ding,Ding,9,11.661,30,PZ31
Perez,Perez,10,11.667,31,PZ31
Ding,Ding,8,12.034,32,PZ31
Ding,Ding,10,12.317,33,PZ31
Nithin,Nithin,4,12.591,34,PZ31
Xiao,Xiao,1,12.598,35,PZ31
Bujnicki,Bujnicki,1,12.774,37,PZ31
Nithin,Nithin,3,12.775,38,PZ31
Nithin,Nithin,1,12.947,39,PZ31
Chen,Chen,4,13.181,40,PZ31
Dfold,Kollmann,2,14.069,41,PZ31
Bujnicki,Bujnicki,3,10.601,27,PZ31
Dfold,Kollmann,7,23.998,60,PZ31
Perez,Perez,8,9.246,25,PZ39
Chen,Chen,1,3.959,2,PZ39
DasEMinfo,Das,4,20.38,66,PZ39
GeneSilico1,Bujnicki,3,20.348,65,PZ39
SoutheRNA,SoutheRNA,8,20.316,64,PZ39
DasEMinfo,Das,2,20.131,63,PZ39
Xiong,Xiong,3,20.06,62,PZ39
Dokholyan,Dokholyan,1,19.975,61,PZ39
DasEMinfo,Das,3,19.91,60,PZ39
Chen,Chen,7,19.798,59,PZ39
Dokholyan,Dokholyan,3,19.623,58,PZ39
GeneSilico1,Bujnicki,1,20.433,67,PZ39
SoutheRNA,SoutheRNA,3,19.36,57,PZ39
SoutheRNA,SoutheRNA,4,19.247,55,PZ39
Dfold,Kollmann,2,19.217,54,PZ39
Dfold,Kollmann,3,19.034,53,PZ39
Dfold,Kollmann,4,18.239,52,PZ39
Dfold,Kollmann,1,18.073,51,PZ39
DasEMinfo,Das,1,19.329,56,PZ39
GeneSilico1,Bujnicki,5,17.181,50,PZ39
SoutheRNA,SoutheRNA,9,20.451,68,PZ39
Chen,Chen,5,20.57,69,PZ39
Dokholyan,Dokholyan,4,23.211,88,PZ39
DasEMinfo,Das,5,23.038,87,PZ39
Dfold,Kollmann,5,23.037,86,PZ39
Zhou,Anonymous,3,22.847,84,PZ39
Dokholyan,Dokholyan,5,22.847,84,PZ39
Chen,Chen,6,22.787,83,PZ39
Zhou,Anonymous,4,22.277,82,PZ39
Perez,Perez,2,22.1,81,PZ39
Zhou,Anonymous,1,21.994,80,PZ39
Perez,Perez,7,21.888,78,PZ39
Perez,Perez,6,21.806,77,PZ39
Zhou,Anonymous,5,21.756,76,PZ39
Chen,Chen,9,21.596,75,PZ39
SoutheRNA,SoutheRNA,2,21.446,74,PZ39
Szachniuk,Szachniuk,5,21.417,73,PZ39
SoutheRNA,SoutheRNA,6,21.219,72,PZ39
Ding,Ding,3,20.745,71,PZ39
SoutheRNA,SoutheRNA,1,20.575,70,PZ39
Zhou,Anonymous,2,21.916,79,PZ39
GeneSilico4,Bujnicki,1,3.383,1,PZ39
Perez,Perez,1,17.12,49,PZ39
Ding,Ding,6,17.065,47,PZ39
DasSWM,Das,1,8.023,21,PZ39
Perez,Perez,3,7.959,20,PZ39
GeneSilico2,Bujnicki,5,7.898,19,PZ39
DasSWM,Das,4,7.893,18,PZ39
Chen,Chen,3,7.649,17,PZ39
DasSWM,Das,3,7.464,16,PZ39
Ding,Ding,1,7.452,15,PZ39
SoutheRNA,SoutheRNA,10,7.245,14,PZ39
DasSWM,Das,2,7.191,13,PZ39
GeneSilico2,Bujnicki,3,8.162,22,PZ39
GeneSilico2,Bujnicki,2,6.618,11,PZ39
Ding,Ding,4,6.446,10,PZ39
GeneSilico2,Bujnicki,4,5.959,9,PZ39
GeneSilico1,Bujnicki,2,5.919,8,PZ39
SoutheRNA,SoutheRNA,5,5.61,7,PZ39
Szachniuk,Szachniuk,1,5.605,6,PZ39
DasSWM,Das,5,5.594,5,PZ39
GeneSilico3,Bujnicki,1,5.447,4,PZ39
Chen,Chen,2,5.267,3,PZ39
Dokholyan,Dokholyan,2,6.779,12,PZ39
Xiong,Xiong,2,17.096,48,PZ39
GeneSilico2,Bujnicki,1,8.768,23,PZ39
Perez,Perez,5,9.757,26,PZ39
Xiao,Xiao,3,16.463,46,PZ39
Chen,Chen,10,16.38,45,PZ39
Perez,Perez,4,16.267,44,PZ39
SoutheRNA,SoutheRNA,7,15.968,43,PZ39
Xiao,Xiao,2,15.833,42,PZ39
Xiong,Xiong,1,15.634,41,PZ39
Xiao,Xiao,4,15.47,40,PZ39
Xiao,Xiao,5,15.246,39,PZ39
Perez,Perez,10,8.947,24,PZ39
Chen,Chen,8,14.426,38,PZ39
Szachniuk,Szachniuk,4,13.002,36,PZ39
Ding,Ding,2,12.537,35,PZ39
Ding,Ding,8,12.102,34,PZ39
Perez,Perez,9,11.846,33,PZ39
GeneSilico1,Bujnicki,4,11.73,32,PZ39
Xiong,Xiong,5,11.667,31,PZ39
Szachniuk,Szachniuk,3,11.047,30,PZ39
Szachniuk,Szachniuk,2,10.922,29,PZ39
Chen,Chen,4,10.562,28,PZ39
Xiong,Xiong,4,10.376,27,PZ39
Ding,Ding,7,13.614,37,PZ39
Ding,Ding,5,23.301,89,PZ39
Xiao,Xiao,1,23.926,90,PZ39
Das,Das,4,25.395,26,PZ22
Xiao,Xiao,3,24.468,21,PZ22
Dokholyan,Dokholyan,4,24.487,23,PZ22
Bujnicki,Bujnicki,5,24.87,24,PZ22
Chen,Chen,4,25.355,25,PZ22
Chen,Chen,2,26.154,27,PZ22
Chen,Chen,1,26.82,28,PZ22
Bujnicki,Bujnicki,4,26.946,29,PZ22
Bujnicki,Bujnicki,3,27.393,30,PZ22
Adamiak,Szachniuk,3,27.938,31,PZ22
Adamiak,Szachniuk,1,28.834,32,PZ22
Dokholyan,Dokholyan,1,28.986,33,PZ22
Dokholyan,Dokholyan,2,29.496,34,PZ22
Chen,Chen,3,31.762,35,PZ22
Das,Das,3,23.908,20,PZ22
Dokholyan,Dokholyan,3,24.478,22,PZ22
Chen,Chen,5,21.39,18,PZ22
Das,Das,5,10.663,1,PZ22
Das,Das,1,11.48,2,PZ22
Das,Das,2,11.732,3,PZ22
Xiao,Xiao,1,13.678,4,PZ22
Das,Das,8,13.96,5,PZ22
Adamiak,Szachniuk,5,15.558,6,PZ22
Xiao,Xiao,2,17.173,7,PZ22
Xiao,Xiao,4,23.219,19,PZ22
Bujnicki,Bujnicki,2,17.959,9,PZ22
Das,Das,6,18.23,10,PZ22
Das,Das,9,17.484,8,PZ22
Xiao,Xiao,5,18.826,12,PZ22
Das,Das,7,21.158,17,PZ22
Adamiak,Szachniuk,4,18.394,11,PZ22
Dokholyan,Dokholyan,5,19.994,15,PZ22
Bujnicki,Bujnicki,1,20.929,16,PZ22
Das,Das,10,19.334,13,PZ22
Adamiak,Szachniuk,2,19.653,14,PZ22
Bujnicki,Bujnicki,3,35.53,26,PZ22Dimer
Adamiak,Szachniuk,4,32.95,20,PZ22Dimer
Chen,Chen,4,33.594,21,PZ22Dimer
Das,Das,7,33.971,22,PZ22Dimer
Das,Das,1,34.474,23,PZ22Dimer
Xiao,Xiao,5,34.983,24,PZ22Dimer
Xiao,Xiao,1,35.088,25,PZ22Dimer
Dokholyan,Dokholyan,1,35.587,27,PZ22Dimer
Bujnicki,Bujnicki,4,31.677,18,PZ22Dimer
Chen,Chen,1,36.235,29,PZ22Dimer
Xiao,Xiao,2,36.32,30,PZ22Dimer
Dokholyan,Dokholyan,2,36.397,31,PZ22Dimer
Dokholyan,Dokholyan,3,38.345,32,PZ22Dimer
Dokholyan,Dokholyan,4,39.694,33,PZ22Dimer
Xiao,Xiao,3,43.461,34,PZ22Dimer
Bujnicki,Bujnicki,5,49.574,35,PZ22Dimer
Adamiak,Szachniuk,2,32.797,19,PZ22Dimer
Dokholyan,Dokholyan,5,36.038,28,PZ22Dimer
Chen,Chen,2,31.364,17,PZ22Dimer
Das,Das,4,26.56,8,PZ22Dimer
Bujnicki,Bujnicki,2,31.15,15,PZ22Dimer
Xiao,Xiao,4,31.156,16,PZ22Dimer
Adamiak,Szachniuk,5,20.249,1,PZ22Dimer
Das,Das,6,20.472,2,PZ22Dimer
Das,Das,5,21.248,3,PZ22Dimer
Das,Das,2,21.616,4,PZ22Dimer
Das,Das,3,21.958,5,PZ22Dimer
Chen,Chen,3,26.48,7,PZ22Dimer
Das,Das,10,24.201,6,PZ22Dimer
Chen,Chen,5,27.746,9,PZ22Dimer
Das,Das,9,28.435,10,PZ22Dimer
Das,Das,8,28.748,11,PZ22Dimer
Bujnicki,Bujnicki,1,29.157,12,PZ22Dimer
Adamiak,Szachniuk,3,29.954,13,PZ22Dimer
